"Summary","Description","Work Type","Priority","Status","Component","Labels","Labels","Labels"
"Support agents cannot view the customer risk score","CONTEXT
A calculated Risk_Score__c field is displayed on the Account support layout and used during case prioritization.

ISSUE OR REQUEST
Support agents see a blank area where the risk score should appear, while administrators see the value.

EXPECTED BEHAVIOR
Support agents should have read-only visibility of the risk score.

ACTUAL BEHAVIOR
The field is hidden for the Support Agent permission set.

INVESTIGATION AND FINDINGS
The field contained data and was present on the Lightning page. Field accessibility showed no read permission for the affected permission set. Field-level security was not updated when Risk_Score__c was deployed.

RESOLUTION
Read access to Risk_Score__c was added to the Support Agent permission set while edit access remained disabled. The field remains hidden from external community users by design.

VALIDATION
Three support users could view the score but could not edit it. A user without the permission set still could not view the field.","Bug","High","Done","Field Level Security","tckt-0011","family-salesforce-security","solution-verified"
"Regional managers intermittently lose access to transferred accounts","CONTEXT
Account access is granted through role hierarchy and a criteria-based sharing rule using Region__c.

ISSUE OR REQUEST
After ownership transfer, some regional managers can no longer open accounts that still belong to their region.

EXPECTED BEHAVIOR
The manager should retain read access through the regional sharing rule.

ACTUAL BEHAVIOR
Access is retained for most accounts but removed for a subset after transfer.

INVESTIGATION AND FINDINGS
Affected accounts have the expected Region__c value. Sharing-button output differs between affected and unaffected records, but recalculation timing has not been captured. The root cause is not verified. The current investigation is focused on delayed sharing-rule recalculation and a possible automation change to Region__c.

RESOLUTION
No verified resolution is available. Additional field-history and sharing recalculation logs are required. The issue is intermittent and current logs do not cover the complete ownership-transfer window.

VALIDATION
Not applicable because no corrective change has been implemented.","Bug","High","To Do","Account Sharing","tckt-0012","family-salesforce-security","solution-unresolved"
"Integration user cannot create cases after permission-set update","CONTEXT
A middleware integration creates Case records through a dedicated Salesforce integration user.

ISSUE OR REQUEST
All case-creation requests began failing with insufficient-access errors after a permission-set cleanup.

EXPECTED BEHAVIOR
The integration user should create Cases and populate the approved integration fields.

ACTUAL BEHAVIOR
The API rejects Case creation because Create permission is missing.

INVESTIGATION AND FINDINGS
Authentication succeeded and field permissions were intact. Permission-set assignment history showed that the legacy set containing Case Create was removed. The replacement integration permission set omitted Case object Create access.

RESOLUTION
Case Create and the required record-type access were added to the scoped integration permission set. The temporary broad permission was removed. New Case fields still require explicit permission review before integration use.

VALIDATION
The integration created test Cases for each supported record type. Attempts to update restricted fields remained blocked.","Task","Highest","Done","Integration User Access","tckt-0013","family-salesforce-security","solution-verified"
"Revenue dashboard double counts opportunities with multiple products","CONTEXT
A dashboard reports closed revenue by sales representative using Opportunity and OpportunityLineItem data.

ISSUE OR REQUEST
The total revenue exceeds the standard Opportunity report whenever an Opportunity contains multiple products.

EXPECTED BEHAVIOR
Each Opportunity amount should contribute once to the revenue total.

ACTUAL BEHAVIOR
Opportunity.Amount is repeated for every line item and summed three times.

INVESTIGATION AND FINDINGS
The source query joined line items and aggregated the parent Opportunity amount at the child-row level. The dashboard aggregation used a one-to-many line-item dataset without grouping revenue at the Opportunity level first.

RESOLUTION
A separate Opportunity-level aggregate was created for revenue, while product metrics continue to use the line-item dataset. Product-level revenue allocation remains based on line-item totals rather than Opportunity.Amount.

VALIDATION
Totals matched the standard report across Opportunities with zero, one, and multiple products and across two currencies.","Bug","Medium","Done","Revenue Dashboard","tckt-0014","family-soql-analytics","solution-verified"
"SLA report excludes cases closed near midnight","CONTEXT
A report compares Case ClosedDate with an external SLA calendar grouped by local business date.

ISSUE OR REQUEST
Cases closed around midnight appear under the wrong reporting day or disappear from the daily extract.

EXPECTED BEHAVIOR
Cases should be grouped according to the configured business timezone.

ACTUAL BEHAVIOR
The SOQL date literal is evaluated in UTC while downstream grouping assumes local time.

INVESTIGATION AND FINDINGS
Boundary tests confirmed an offset mismatch. Records outside the boundary are reported correctly. The extraction filter and reporting transformation use different timezone assumptions.

RESOLUTION
The extraction now uses explicit UTC boundaries calculated from the configured timezone. Historical report correction is still pending. The solution is partial until the historical SLA dataset is reprocessed.

VALIDATION
Current-period boundary cases passed for sampled summer and winter dates. Historical aggregates have not yet been rebuilt.","Bug","Medium","In Progress","Case SLA Report","tckt-0015","family-soql-analytics","solution-partial"
"Account activity query exceeds CPU time on large data volume","CONTEXT
A support dashboard queries recent activities for accounts with several million Task records.

ISSUE OR REQUEST
The query times out for broad date ranges during peak usage.

EXPECTED BEHAVIOR
The dashboard should return within the interactive timeout.

ACTUAL BEHAVIOR
The filter is not selective enough and the query exceeds the transaction CPU limit.

INVESTIGATION AND FINDINGS
Query Plan showed a table scan driven by a broad date range and a nonselective custom status filter. The online query design attempts to aggregate a large historical Task population without a selective indexed predicate.

RESOLUTION
As a workaround, the dashboard limits interactive queries to 90 days and uses a nightly summary object for older activity. The workaround introduces nightly latency and does not provide real-time detail beyond 90 days.

VALIDATION
Interactive queries returned within the target for tested high-volume accounts, and summary totals matched sampled historical data.","Bug","High","Done","Account Activity Query","tckt-0016","family-soql-analytics","solution-workaround"
"Customer replies create new cases instead of updating the existing thread","CONTEXT
Email-to-Case should attach customer replies to the originating Case using Salesforce threading headers.

ISSUE OR REQUEST
Replies from one mail gateway intermittently create new Cases.

EXPECTED BEHAVIOR
The reply should be added as an EmailMessage on the existing Case.

ACTUAL BEHAVIOR
The gateway removes the Salesforce reference headers, so Email-to-Case cannot match the reply.

INVESTIGATION AND FINDINGS
Raw-message comparison showed that the affected gateway stripped In-Reply-To and References headers while another gateway preserved them. Mail-gateway header sanitization removed the identifiers required for reliable case threading.

RESOLUTION
The gateway policy was updated to preserve the required reference headers for the support domain. Subject fallback was disabled. Manually composed messages without reference headers cannot be threaded automatically.

VALIDATION
Replies across three mail clients and both inbound routes attached to the original Case without creating duplicates.","Bug","High","Done","Email Threading","tckt-0017","family-email-activity","solution-verified"
"Inbound sales replies are stamped as outbound activities","CONTEXT
Sales engagement Tasks update the latest activity type on Lead and Contact records.

ISSUE OR REQUEST
Inbound replies synchronized as Tasks are recorded as Email Sent.

EXPECTED BEHAVIOR
The outbound message should be Email Sent and the reply should be Email Reply.

ACTUAL BEHAVIOR
Both activities are stamped as Email Sent.

INVESTIGATION AND FINDINGS
Task has no Incoming field equivalent to EmailMessage. The existing flow used a constant outbound value. The Task-based automation hardcoded the activity direction and ignored integration direction metadata.

RESOLUTION
The flow now reads the integration direction marker and applies a newer-activity guard before updating the person record. Legacy Tasks created before direction metadata was introduced remain unclassified.

VALIDATION
Inbound and outbound scenarios passed on both Lead and Contact, including an older delayed Task that was correctly ignored.","Task","Medium","Done","Sales Engagement Tasks","tckt-0018","family-email-activity","solution-verified"
"Support timeline omits activities older than the archive threshold","CONTEXT
A custom support timeline displays Account Tasks and EmailMessages for long-term customers.

ISSUE OR REQUEST
The component shows no activities older than the platform archive threshold even though users can locate some through standard views.

EXPECTED BEHAVIOR
The timeline should indicate and, where supported, display archived activity.

ACTUAL BEHAVIOR
The custom query returns only current activity and gives no explanation for older records.

INVESTIGATION AND FINDINGS
Current SOQL and component logic were reviewed. Archived activity behavior differs by API and object, and the intended retention requirement is not yet finalized. No final root cause or supported retrieval design has been confirmed. The current component was built only for non-archived activity.

RESOLUTION
No verified resolution is available. Product and architecture decisions are required before implementation. Platform archive access and performance constraints may prevent a complete real-time timeline.

VALIDATION
Not applicable because no supported solution has been implemented.","Story","Low","In Progress","Archived Activities","tckt-0019","family-email-activity","solution-unresolved"
"Lead conversion creates duplicate contacts for email aliases","CONTEXT
Lead conversion automation matches existing Contacts by normalized email address.

ISSUE OR REQUEST
Addresses containing uppercase characters or plus aliases bypass matching and create duplicate Contacts.

EXPECTED BEHAVIOR
The Lead should match the existing Contact according to the approved alias-normalization policy.

ACTUAL BEHAVIOR
The raw email strings differ and a new Contact is created.

INVESTIGATION AND FINDINGS
Duplicate-rule logs showed exact email matching. The normalization helper was called during imports but not during interactive conversion. Lead conversion did not apply the canonical lowercase and approved plus-alias normalization used by other ingestion paths.

RESOLUTION
A shared normalized-email field is now populated on both Lead and Contact and used by the conversion matching rule. Alias semantics vary by mail provider, so normalization is limited to approved corporate domains.

VALIDATION
Case, whitespace, and approved alias variants matched correctly; distinct domains and nonapproved aliases remained separate.","Bug","High","Done","Lead Conversion","tckt-0020","family-crm-record-management","solution-verified"
"Account import matches subsidiaries to the parent company","CONTEXT
A bulk import uses normalized company name and website domain to match incoming customer Accounts.

ISSUE OR REQUEST
Subsidiaries sharing the parent website are merged into the parent Account.

EXPECTED BEHAVIOR
A unique registration number should preserve the subsidiary as a separate Account.

ACTUAL BEHAVIOR
The domain match has higher precedence and selects the parent Account.

INVESTIGATION AND FINDINGS
Matching logs showed that registration number was evaluated only after domain and normalized name. The match hierarchy prioritizes a shared domain over the stronger legal registration identifier.

RESOLUTION
Registration number now has highest priority when present. The fallback logic for records without registration numbers is still being tuned. The resolution is partial for legacy data lacking registration numbers.

VALIDATION
All reviewed subsidiaries with registration numbers matched correctly. Records without that identifier still produce ambiguous candidates.","Task","Medium","In Progress","Account Matching","tckt-0021","family-crm-record-management","solution-partial"
"Contact owner is not updated after account territory reassignment","CONTEXT
Business rules require selected Contacts to follow the Account owner when a territory reassignment is completed.

ISSUE OR REQUEST
Account ownership changes correctly, but related active Contacts remain owned by the previous representative.

EXPECTED BEHAVIOR
Eligible Contacts should be reassigned to the new Account owner.

ACTUAL BEHAVIOR
The automation queries Contacts before the Account owner update is committed and retains the old owner value.

INVESTIGATION AND FINDINGS
Flow timing and debug logs confirmed that the Contact update ran in the same before-save transaction using the prior Account owner. The Contact reassignment logic executed before the new Account owner was available.

RESOLUTION
Contact reassignment was moved to an asynchronous after-commit path using the committed Account owner and bulk-safe updates. Contacts with an explicit ownership-lock flag are intentionally excluded.

VALIDATION
Single and bulk territory changes updated all eligible Contacts while excluded Contact types retained their owners.","Bug","Medium","Done","Contact Ownership","tckt-0022","family-crm-record-management","solution-verified"
"Pipeline forecast mixes opportunity currencies without conversion","CONTEXT
A custom forecast aggregates open Opportunity amounts into the corporate currency.

ISSUE OR REQUEST
Forecast totals treat EUR and USD amounts as if they were already in the same currency.

EXPECTED BEHAVIOR
Each amount should be converted using the configured dated exchange rate.

ACTUAL BEHAVIOR
Raw Opportunity.Amount values are summed without conversion.

INVESTIGATION AND FINDINGS
The aggregation query selected Amount but not ConvertedAmount, and the transformation assumed corporate currency. The forecast pipeline ignored Salesforce multi-currency conversion fields.

RESOLUTION
The query and aggregation now use converted corporate-currency amounts based on the configured dated rates. Forecast snapshots preserve the rate available at snapshot time and are not retroactively recalculated.

VALIDATION
Forecast totals matched standard Salesforce reports across three currencies and two historical rate periods.","Bug","High","Done","Multi-Currency Opportunities","tckt-0023","family-revenue-operations","solution-verified"
"Partial refund report uses original quantity instead of refunded quantity","CONTEXT
Refund Opportunities track returned units and price per unit for finance reconciliation.

ISSUE OR REQUEST
Partial refunds are reported at the full original Opportunity value.

EXPECTED BEHAVIOR
The refund amount should be 1,000 NIS.

ACTUAL BEHAVIOR
The report displays 5,000 NIS because it uses original quantity.

INVESTIGATION AND FINDINGS
Report formulas referenced Opportunity.Quantity__c instead of Refund_Quantity__c. The refund calculation was mapped to the original sales quantity rather than the quantity actually refunded.

RESOLUTION
The report formula and supporting flow were updated to use Refund_Quantity__c multiplied by Refund_Unit_Price__c. Tax adjustments are handled in a separate finance report.

VALIDATION
Full, partial, and multiple-refund scenarios reconciled with finance examples and did not exceed the original transaction value.","Task","Medium","Done","Refund Processing","tckt-0024","family-revenue-operations","solution-verified"
"Many-to-many opportunity conversion lacks final allocation rules","CONTEXT
A conversion process must support merging several original Opportunities into several replacement Opportunities while preserving financial traceability.

ISSUE OR REQUEST
The current implementation supports one-to-one and many-to-one conversion but cannot allocate value across many-to-many relationships.

EXPECTED BEHAVIOR
Every converted value should be traceable and total allocations should equal the original total.

ACTUAL BEHAVIOR
The UI can create the records but cannot persist a complete allocation matrix.

INVESTIGATION AND FINDINGS
The existing junction object stores only one source amount per replacement and cannot represent multiple allocations. The current data model does not represent individual source-to-target allocation lines.

RESOLUTION
A junction allocation object has been implemented for one-to-many testing. Many-to-many validation and final UI behavior remain incomplete. The solution remains partial until all allocation paths and reconciliation reports pass QA.

VALIDATION
One-to-many totals and rollback tests passed. Many-to-many scenarios are not yet approved.","Story","Medium","In Progress","Opportunity Conversion","tckt-0025","family-revenue-operations","solution-partial"
"Middleware stops synchronizing after Salesforce access token expires","CONTEXT
A middleware service uses OAuth refresh tokens for continuous Salesforce API access.

ISSUE OR REQUEST
Synchronization stops after the access token expires and does not recover automatically.

EXPECTED BEHAVIOR
The service should refresh the token once and retry the failed request.

ACTUAL BEHAVIOR
The refresh succeeds, but the retry still uses the expired token cached in the HTTP client.

INVESTIGATION AND FINDINGS
Authentication logs showed a new token response followed by a retry carrying the previous Authorization header. The HTTP client cached the original authorization header and was not rebuilt or updated after token refresh.

RESOLUTION
The token provider now updates the shared authorization interceptor atomically before a single controlled retry. A revoked refresh token still requires reauthorization and is escalated explicitly.

VALIDATION
Forced expiry tests across parallel requests recovered successfully and generated only one refresh operation.","Bug","Highest","Done","OAuth Token Refresh","tckt-0026","family-api-platform","solution-verified"
"Valid payment webhooks fail signature verification after proxy rewrite","CONTEXT
Payment notifications pass through an API gateway before reaching the Salesforce integration service.

ISSUE OR REQUEST
Valid webhooks are rejected because their signatures no longer match the body received by the verifier.

EXPECTED BEHAVIOR
The verifier should validate the exact raw bytes signed by the provider.

ACTUAL BEHAVIOR
The gateway normalizes JSON whitespace before forwarding, changing the signed byte sequence.

INVESTIGATION AND FINDINGS
Direct requests passed verification. Byte-level comparison showed gateway body transformation before the verifier executed. The proxy rewrites the signed request body, while signature verification requires the original bytes.

RESOLUTION
As a workaround, the gateway forwards a base64 copy of the original body in a protected internal header for verification. The workaround depends on gateway configuration. The preferred long-term solution is a nontransforming webhook route.

VALIDATION
Known valid and tampered payloads were tested; valid signatures passed and modified bodies failed.","Bug","High","Done","Webhook Verification","tckt-0027","family-api-platform","solution-workaround"
"Bulk API job remains in UploadComplete without processing","CONTEXT
A nightly data pipeline uploads Account updates through Salesforce Bulk API 2.0.

ISSUE OR REQUEST
One job remains in UploadComplete for several hours and produces neither results nor failed-record output.

EXPECTED BEHAVIOR
The job should progress to InProgress and then JobComplete or Failed.

ACTUAL BEHAVIOR
The job remains in UploadComplete beyond the normal processing window.

INVESTIGATION AND FINDINGS
The CSV parses locally, row counts are within previous successful limits, and a smaller subset completes. Platform status and job identifiers have been collected. The root cause has not been identified. Evidence is insufficient to distinguish payload-specific processing from a platform queue issue.

RESOLUTION
No verified resolution is available. The stalled job and payload checksum have been escalated for platform investigation. The split-file approach is diagnostic only and has not been approved as an operational workaround.

VALIDATION
Not applicable because the full workload still cannot complete reliably.","Task","High","To Do","Bulk API Job","tckt-0028","family-api-platform","solution-unresolved"
"AI query assistant selects service requests for claim questions","CONTEXT
A Hebrew natural-language assistant generates SOQL over a Salesforce insurance schema.

ISSUE OR REQUEST
Questions asking how many claims were opened are routed to the Service Request object.

EXPECTED BEHAVIOR
The query should use the approved Claim object and the current-month CreatedDate filter.

ACTUAL BEHAVIOR
The model selects Service_Request__c and adds an unrelated status condition.

INVESTIGATION AND FINDINGS
Prompt traces showed overlapping Hebrew synonyms in the schema description, with Service Request listed before Claim. The schema prompt contained ambiguous object descriptions and no explicit routing rule for claim terminology.

RESOLUTION
The schema dictionary was rewritten with explicit domain aliases and a deterministic rule mapping claim terminology to the Claim object. New business synonyms must be added to the maintained schema dictionary.

VALIDATION
A 40-question regression set selected the correct object and avoided unsupported status filters in all claim scenarios.","Bug","High","Done","Object Selection Prompt","tckt-0029","family-ai-to-soql","solution-verified"
"AI assistant interprets recent customers inconsistently","CONTEXT
Users ask Hebrew business questions that contain relative terms such as recent, new, and lately.

ISSUE OR REQUEST
The assistant translates the same phrase into different date ranges across semantically similar questions.

EXPECTED BEHAVIOR
Ambiguous relative dates should follow a documented default or trigger clarification.

ACTUAL BEHAVIOR
The model alternates between seven, thirty, and ninety days without explaining the choice.

INVESTIGATION AND FINDINGS
Prompt review found no policy for relative-date expressions. Few-shot examples contain conflicting ranges. The prompt and examples do not define a consistent business meaning for ambiguous date terms.

RESOLUTION
Common sales questions now use documented defaults, while unsupported contexts request clarification. Several specialized intents still lack policies. The solution is partial until all supported intents have explicit temporal policies.

VALIDATION
The main sales regression set passed. Retention and support-domain ambiguity tests still require additional rules.","Task","Medium","In Progress","Date Interpretation","tckt-0030","family-ai-to-soql","solution-partial"
"AI profitability query uses a field from the wrong object","CONTEXT
The assistant answers questions about the most profitable sales representative by aggregating Lead premium data.

ISSUE OR REQUEST
The generated query fails with Invalid field because it selects a Policy-only field from Lead.

EXPECTED BEHAVIOR
The query should aggregate the approved Lead premium field and group by representative ID and name.

ACTUAL BEHAVIOR
The query references Updated_Premium_In_Production__c, which is not defined on Lead.

INVESTIGATION AND FINDINGS
Schema retrieval returned similarly named Policy and Lead fields without object-qualified examples. The prompt did not enforce object-field compatibility before generating the final SOQL.

RESOLUTION
Object-qualified schema entries and a validation step now reject fields not present on the selected object before execution. The validator checks schema validity but cannot by itself guarantee business-semantic correctness.

VALIDATION
Profitability, claims, and policy regression questions produced valid object-field combinations and correct grouping.","Bug","High","Done","Aggregate Query Generation","tckt-0031","family-ai-to-soql","solution-verified"
"UTF-8 contact import corrupts Hebrew names","CONTEXT
A migration imports Hebrew Contact names from CSV into Salesforce.

ISSUE OR REQUEST
Hebrew characters appear as replacement symbols after import.

EXPECTED BEHAVIOR
All names should retain their Unicode characters.

ACTUAL BEHAVIOR
The loader reads the UTF-8 file using a legacy Windows encoding.

INVESTIGATION AND FINDINGS
The source bytes decoded correctly as UTF-8. Loader logs showed the default operating-system encoding was used. The import process did not specify UTF-8 explicitly when opening the CSV.

RESOLUTION
The loader now requires UTF-8, validates decoding before upload, and rejects files containing replacement characters. Files supplied in other encodings must be converted before ingestion.

VALIDATION
Hebrew, Arabic, accented Latin, and plain ASCII samples imported correctly and matched source hashes after normalization.","Bug","Medium","Done","Contact CSV Import","tckt-0032","family-data-migration","solution-verified"
